Respondent_Serial,WAVE,resp_gender,resp_age,REGION,LIV,MRK_STATE1,QPID1,QPID_I,QPID_D,QPID_R,GRID_GTS1_1_GTS1,GRID_GTS1_2_GTS1,GRID_GTS1_3_GTS1,GRID_GTS1_4_GTS1,GRID_GTS1_5_GTS1,GRID_GTS2_1_GTS2,GRID_GTS2_2_GTS2,GRID_GTS2_3_GTS2,GRID_GTS2_4_GTS2,GRID_GTS2_5_GTS2,GRID_GTS3_1_GTS3,GRID_GTS3_3_GTS3,GRID_GTS3_4_GTS3,GRID_GTS3_5_GTS3,GRID_GTS3_6_GTS3,GRID_GTS3_7_GTS3,GRID_GTS3_8_GTS3,USHHI2,USEDU3,USHOU1,USMAR2,EMP01_der,KIDS02,USRETH3,USRACE41,USRACE42,USRACE43,USRACE44,USRACE45,USRACE46,USRACE47,USRACE48,Weight
251,2,2,42,3,3,24,3,3,,,60,20,20,40,40,75,45,35,45,70,4,3,2,3,2,1,1,21,13,1,5,2,0,1,1,0,0,0,0,0,0,0,0.930419
252,2,1,65,1,2,34,4,1,,,95,90,90,90,95,70,60,50,50,50,2,4,4,4,1,1,1,21,9,1,3,1,0,2,1,0,0,0,0,0,0,0,0.983241
255,2,1,29,3,2,28,1,,1,,50,40,60,60,50,10,10,20,20,10,4,4,4,3,1,1,4,18,7,4,1,8,0,2,1,0,0,0,0,0,0,0,1.360468
259,2,1,40,3,2,51,2,,,2,20,25,10,20,25,20,40,10,20,10,4,3,3,3,3,3,3,19,11,3,3,1,2,2,1,0,0,0,0,0,0,0,0.46941
260,2,1,37,3,3,48,5,3,,,60,50,70,35,35,60,50,70,35,35,2,2,3,1,1,1,2,10,5,3,1,2,2,2,1,0,0,0,0,0,0,0,3.301398
266,2,1,62,4,3,15,2,,,2,55,50,65,40,60,80,80,80,80,80,4,1,1,1,5,1,1,6,9,3,3,4,0,2,1,0,0,0,0,0,0,0,0.392575
269,2,2,65,4,3,41,1,,1,,45,50,40,40,50,75,60,75,65,76,5,5,1,1,1,1,2,7,10,3,4,4,0,2,1,0,0,0,0,0,0,0,0.186216
271,2,1,40,2,3,18,2,,,1,70,65,70,75,72,65,86,50,70,60,3,2,3,2,3,2,2,21,11,1,3,1,1,2,1,0,0,0,0,0,0,0,0.694366
272,2,2,19,2,1,27,2,,,2,30,40,50,60,30,30,30,50,60,30,1,2,1,1,1,2,1,6,7,4,1,2,0,2,1,0,0,0,0,0,0,0,0.330484
276,2,2,30,3,2,12,1,,1,,60,60,45,50,50,50,50,50,50,50,1,1,5,1,1,1,1,6,10,4,1,1,0,2,1,0,0,0,0,0,0,0,0.430369
278,2,1,71,3,2,13,2,,,2,10,15,60,15,10,15,15,15,15,15,4,1,5,1,1,1,1,12,10,1,1,4,0,2,1,0,0,0,0,0,0,0,0.432625
279,2,2,64,1,2,9,1,,2,,10,10,20,20,40,20,10,20,10,40,5,2,5,1,2,1,1,12,8,1,3,2,0,2,1,0,0,0,0,0,0,0,0.34435
280,2,1,62,2,2,39,3,2,,,5,25,25,25,20,5,20,5,50,20,2,1,2,1,2,2,1,18,10,1,3,4,0,2,1,0,0,0,0,0,0,0,0.5623
282,2,2,60,3,1,48,2,,,1,25,75,50,50,40,25,40,25,25,10,2,2,5,2,4,1,1,8,7,1,3,4,0,2,1,0,0,0,0,1,0,0,1.452836
283,2,1,68,3,3,40,3,2,,,40,50,40,50,40,25,20,20,22,15,1,1,1,1,1,1,1,3,8,1,1,4,0,2,1,0,0,0,0,0,0,0,0.469224
284,2,2,55,4,2,8,1,,1,,70,50,50,40,60,80,70,75,60,70,4,2,4,2,1,1,2,19,10,1,3,1,0,2,1,0,0,0,0,0,0,0,0.542918
285,2,2,28,3,3,13,3,1,,,30,15,30,65,50,50,35,50,70,60,3,1,3,1,3,1,1,3,7,3,2,8,2,2,0,1,0,0,0,0,0,0,0.610917
286,2,2,72,2,1,20,2,,,2,20,5,50,15,10,20,20,25,30,10,1,1,4,5,1,1,1,9,9,1,1,4,0,2,1,0,0,0,0,0,0,0,0.297084
288,2,1,43,3,2,37,1,,1,,85,70,100,100,75,85,100,100,100,80,3,3,3,3,3,3,3,21,11,1,3,1,2,2,1,0,0,0,0,0,0,0,0.949255
289,2,1,63,3,2,12,3,2,,,40,50,40,40,40,50,50,50,40,40,5,1,5,1,1,1,1,7,8,3,5,4,0,2,1,0,0,0,0,0,0,0,0.965825
290,2,2,57,4,2,8,1,,1,,40,35,40,40,25,60,40,65,40,35,5,4,5,4,1,1,1,5,10,1,2,2,0,2,1,0,0,0,0,0,0,0,0.186216
293,2,2,27,3,2,40,2,,,2,70,40,65,65,65,40,10,25,25,20,4,2,4,2,2,1,2,7,10,3,3,7,1,2,1,0,0,0,0,0,0,0,0.207122
294,2,2,71,3,2,48,2,,,1,70,2,2,2,2,90,2,2,2,2,1,1,1,1,4,1,1,17,10,1,3,4,0,1,1,0,0,0,0,0,0,0,5.599548
298,2,1,38,3,2,54,4,3,,,30,15,40,15,35,10,5,10,5,20,3,3,5,3,1,1,1,6,10,3,3,4,4,2,1,0,0,0,0,0,0,0,0.254522
299,2,2,18,1,3,42,1,,2,,52,50,64,23,51,58,28,34,34,16,1,1,2,1,2,1,3,17,3,4,1,2,4,2,1,0,0,0,0,0,0,0,3.663322
301,2,2,48,1,2,36,1,,2,,20,40,20,10,10,15,25,30,15,5,3,3,2,3,2,1,1,8,8,3,1,1,0,2,1,0,0,0,0,0,0,0,0.93353
302,2,2,66,1,2,44,1,,1,,67,75,45,72,60,71,82,63,68,78,1,4,4,3,1,1,3,15,11,1,3,2,0,2,1,0,0,0,0,0,0,0,0.187825
304,2,2,49,3,2,12,1,,1,,5,25,25,25,20,30,20,20,20,20,5,3,5,3,1,1,1,17,10,1,3,8,0,2,1,0,0,0,0,0,0,0,1.40007
312,2,1,35,3,1,47,2,,,1,40,50,50,50,50,50,50,50,50,50,2,1,4,1,1,1,1,10,10,3,1,1,0,2,1,0,0,0,0,0,0,0,0.254522
314,2,1,32,3,2,21,2,,,2,69,48,59,25,42,69,39,48,42,41,1,4,3,1,1,1,1,19,10,2,3,1,1,2,1,0,0,0,0,0,0,0,0.742065
316,2,2,24,3,1,12,3,3,,,10,10,60,10,10,20,20,20,20,20,1,1,1,1,1,1,1,1,5,4,2,7,1,2,1,0,0,0,0,0,0,0,2.545986
317,2,2,38,4,3,4,2,,,2,50,80,60,80,70,50,45,60,40,45,2,1,2,1,2,1,1,5,9,3,1,8,0,2,1,0,0,0,0,0,0,0,0.35307
318,2,1,76,3,2,48,3,3,,,75,20,20,20,20,50,5,20,5,5,1,1,5,1,2,2,1,19,10,1,3,4,0,2,1,0,0,0,0,0,0,0,1.440301
319,2,2,44,2,1,26,4,3,,,80,75,80,50,85,75,70,70,70,70,2,4,4,1,4,1,1,7,8,1,2,7,1,2,1,0,0,0,0,0,0,0,0.70179
321,2,1,42,1,3,34,2,,,2,70,80,75,85,100,70,80,75,80,100,1,1,5,1,1,1,1,12,10,3,3,2,2,2,1,0,0,0,0,0,0,0,0.288382
324,2,1,24,2,3,26,4,3,,,5,60,5,10,20,10,60,10,10,10,2,4,4,3,4,4,2,19,5,1,1,3,0,2,0,1,0,0,0,0,0,0,5.481186
326,2,2,53,1,3,42,1,,2,,75,65,50,80,60,80,60,75,75,60,3,1,4,1,4,1,1,8,9,3,3,8,0,1,0,0,0,0,0,1,0,0,1.604663
327,2,2,50,1,3,36,3,3,,,55,28,16,30,35,50,10,38,15,70,2,1,1,1,1,1,2,5,9,3,5,8,0,1,0,0,0,0,0,1,0,0,2.701905
328,2,2,30,3,1,48,4,1,,,45,5,40,15,30,5,5,5,10,15,1,2,2,1,2,2,1,21,8,1,2,1,3,2,0,0,0,1,0,0,0,0,3.225241
329,2,2,56,4,3,49,3,2,,,30,25,20,25,30,25,25,25,25,25,1,1,5,1,1,1,1,4,5,3,3,7,0,2,1,0,0,0,0,0,0,0,0.925186
331,2,2,21,1,3,42,3,2,,,53,26,27,46,30,32,29,25,27,34,1,1,4,1,1,1,1,1,10,3,1,5,0,2,1,0,0,0,0,0,0,0,0.2112
332,2,2,39,2,1,17,1,,2,,25,20,40,20,30,22,19,33,13,25,3,2,1,2,1,1,1,2,10,1,3,8,0,2,1,0,0,0,0,0,0,0,0.381004
333,2,2,29,3,1,40,2,,,2,20,10,20,30,30,10,10,10,20,30,1,1,5,1,1,1,1,19,8,1,3,1,2,2,0,0,1,0,0,0,0,0,1.690416
335,2,2,71,1,2,25,3,2,,,45,20,75,85,95,45,30,50,75,80,1,1,1,1,1,1,1,6,8,4,4,2,0,2,1,0,0,0,0,0,0,0,0.34435
337,2,2,75,3,1,13,2,,,2,25,45,50,30,40,15,20,25,30,15,3,1,4,4,4,2,1,17,7,1,3,4,0,1,1,0,0,0,0,0,0,0,3.79001
339,2,2,25,4,2,4,3,1,,,80,60,70,50,50,80,50,70,60,60,2,2,2,2,3,1,1,2,5,3,2,3,0,2,1,0,0,0,0,0,0,0,0.99883
340,2,2,20,4,3,8,3,1,,,20,30,30,30,10,50,30,40,30,20,1,1,1,1,1,1,1,4,6,4,1,8,4,2,1,0,0,0,0,0,0,0,0.855152
341,2,1,31,4,2,53,4,3,,,50,40,60,50,50,50,16,20,30,50,1,1,3,1,1,1,3,21,8,3,1,3,0,2,0,0,0,1,0,0,0,0,0.988355
342,2,2,86,3,1,37,2,,,1,50,50,60,80,50,60,50,60,60,50,4,1,4,2,4,2,1,9,7,1,4,4,0,2,1,0,0,0,0,0,0,0,0.544434
347,2,1,34,4,3,53,5,1,,,80,70,80,40,80,90,80,80,80,80,5,5,5,5,5,2,5,10,8,3,1,8,0,3,1,0,0,0,0,0,0,0,0.328513
351,2,2,24,3,2,47,3,3,,,100,75,100,100,100,80,30,65,50,75,2,1,2,1,2,2,1,2,4,3,1,2,0,2,1,0,0,0,0,0,0,0,1.029053
353,2,2,22,3,1,54,3,2,,,55,45,50,60,72,20,15,25,30,25,1,2,2,1,1,1,1,12,8,3,1,5,0,2,1,0,0,0,0,0,0,0,0.379728
360,2,1,49,3,3,48,3,3,,,70,50,80,50,10,50,25,50,10,5,1,1,1,1,1,1,1,23,11,3,3,1,1,2,1,0,0,0,0,0,0,0,1.440301
361,2,2,67,3,2,47,2,,,1,25,25,25,25,25,5,12,10,10,12,1,1,5,1,5,1,1,19,8,1,3,4,0,2,1,0,0,0,0,0,0,0,1.226574
363,2,2,33,1,2,25,3,1,,,25,25,15,25,25,40,40,40,40,40,2,2,2,1,2,1,1,19,10,3,3,1,0,1,1,0,0,0,0,0,0,0,0.864506
366,2,1,74,1,2,9,1,,2,,85,75,90,90,60,95,85,90,85,75,4,1,5,1,1,1,1,15,11,1,3,4,0,2,1,0,0,0,0,0,0,0,0.208785
368,2,2,71,3,1,48,3,3,,,25,30,20,25,5,10,5,20,5,5,1,1,5,3,2,1,1,11,10,1,3,4,0,2,1,0,0,0,0,0,0,0,0.677077
369,2,1,72,1,2,34,2,,,2,45,40,30,30,25,60,35,40,50,35,1,1,4,1,5,5,1,4,9,2,4,4,0,2,1,0,0,0,0,0,0,0,0.335346
370,2,1,18,2,2,26,3,1,,,75,60,50,70,60,60,60,40,60,40,2,3,2,3,2,2,1,1,7,3,1,5,0,2,1,0,0,0,0,0,0,0,0.643996
372,2,1,73,1,2,42,3,1,,,65,45,50,50,40,58,42,50,45,45,5,5,5,3,2,1,1,13,11,1,3,4,0,2,1,0,0,0,0,0,0,0,0.217406
373,2,2,29,4,1,2,3,3,,,70,50,75,80,60,60,50,75,50,75,2,2,2,1,1,1,1,18,5,3,2,3,1,2,1,0,0,0,0,0,0,0,2.493217
376,2,1,76,3,2,12,3,1,,,65,60,75,35,45,80,65,85,50,70,2,1,5,4,1,1,1,11,8,1,5,4,0,2,1,0,0,0,0,0,0,0,0.965825
377,2,1,35,2,2,39,2,,,2,95,75,90,50,78,89,81,65,88,67,5,3,5,1,3,1,1,16,10,1,3,1,3,2,1,0,0,0,0,0,0,0,0.939204
378,2,2,68,3,2,37,3,1,,,60,60,60,60,60,50,70,40,40,30,5,4,3,2,1,1,1,20,11,1,3,4,0,2,1,0,0,0,0,0,0,0,0.763356
379,2,2,46,2,3,17,1,,1,,68,23,45,35,55,40,25,20,57,60,1,3,3,1,1,1,1,2,9,3,1,8,0,3,0,0,0,0,0,0,1,0,0.49527
381,2,2,30,1,2,42,1,,2,,30,10,60,60,50,30,10,40,30,20,5,2,4,1,1,1,1,16,10,3,2,1,0,1,1,0,0,0,0,0,0,0,1.746658
382,2,2,63,2,2,29,2,,,2,50,60,75,100,75,50,60,50,100,75,1,1,3,1,5,1,1,5,9,2,4,8,0,2,1,0,0,0,0,0,0,0,0.297084
387,2,2,61,1,2,42,1,,1,,75,50,50,60,35,50,50,70,65,40,5,2,5,1,1,1,1,17,11,1,3,4,0,2,1,0,0,0,0,0,0,0,0.777364
394,2,1,47,4,3,32,1,,1,,10,50,60,100,75,75,75,100,100,50,3,4,4,2,3,1,1,15,10,1,1,1,0,2,0,0,0,1,0,0,0,0,0.326949
395,2,2,49,1,2,34,1,,2,,10,10,10,20,50,10,10,10,20,50,2,1,2,1,1,1,1,17,10,1,3,1,2,2,1,0,0,0,0,0,0,0,0.536359
398,2,1,72,3,2,12,2,,,2,50,10,75,20,20,10,5,50,5,5,1,1,1,1,1,4,1,16,11,1,3,4,0,1,1,0,0,0,0,0,0,0,3.819693
399,2,1,32,2,1,29,1,,1,,45,35,55,65,45,45,45,45,45,45,3,3,4,2,1,1,4,7,8,3,3,3,0,2,1,0,0,0,0,0,0,0,0.436635
400,2,2,54,2,1,18,2,,,1,50,20,40,25,50,10,10,10,10,10,1,1,1,4,1,5,1,21,11,1,3,1,0,2,1,0,0,0,0,0,0,0,0.472443
401,2,2,55,2,2,26,2,,,2,35,65,50,25,10,25,25,50,35,25,1,1,5,1,1,1,1,21,11,1,3,4,0,2,1,0,0,0,0,0,0,0,0.78602
403,2,1,67,2,1,27,2,,,2,50,20,60,80,60,80,70,70,80,80,1,1,5,1,1,1,1,20,5,1,3,2,0,2,1,0,0,0,0,0,0,0,2.773166
404,2,2,44,3,2,40,1,,1,,80,100,100,80,80,60,85,80,75,40,4,1,4,1,1,1,1,5,8,3,5,5,1,2,0,1,0,0,0,0,0,0,0.579798
409,2,1,38,1,2,36,1,,1,,65,55,65,50,45,65,65,65,65,65,3,5,5,4,1,1,3,10,10,3,1,1,0,1,1,0,0,0,0,0,0,0,0.880621
412,2,1,34,4,3,32,1,,2,,20,30,20,10,20,20,25,20,10,15,4,4,4,4,5,5,5,16,11,1,3,1,1,2,1,0,0,0,0,0,0,0,0.654001
413,2,1,34,1,1,34,2,,,1,30,20,35,30,20,60,60,60,60,60,1,1,1,1,1,5,1,9,9,3,5,1,2,2,1,0,0,0,0,0,0,0,0.603048
416,2,2,70,4,1,4,1,,1,,80,70,90,90,50,50,50,70,70,50,5,5,5,3,1,1,5,13,11,1,3,4,0,2,1,0,0,0,0,0,0,0,0.151568
418,2,2,85,1,2,34,1,,1,,85,35,75,80,95,45,30,50,50,40,2,1,5,1,1,1,1,5,10,2,4,4,0,2,1,0,0,0,0,0,0,0,0.182932
419,2,2,60,3,2,12,1,,2,,30,30,40,20,40,40,20,40,30,30,1,1,5,1,1,1,1,5,10,3,5,8,0,2,1,0,0,0,0,0,0,0,0.477511
420,2,2,70,2,2,19,1,,2,,80,30,75,60,35,40,20,40,55,20,5,4,4,1,1,1,1,21,12,3,4,4,1,2,1,0,0,0,0,0,0,0,0.472443
422,2,2,65,3,2,12,1,,1,,25,25,25,75,35,50,20,50,75,75,5,3,5,1,3,5,3,9,8,2,5,4,0,2,0,1,0,0,0,0,0,0,1.024617
425,2,2,70,4,1,32,1,,1,,85,75,75,100,60,90,75,90,100,100,1,1,4,1,4,1,1,8,5,1,2,4,0,3,1,0,0,0,0,0,0,0,0.925186
429,2,2,21,4,3,16,5,3,,,55,80,75,58,60,75,40,50,90,20,2,1,1,2,2,1,1,3,8,1,1,1,0,1,0,0,0,0,0,1,0,0,0.742365
430,2,2,68,2,2,39,3,1,,,40,20,15,25,15,25,10,10,15,20,2,1,4,1,1,1,1,12,8,1,3,4,0,2,0,1,0,0,0,0,0,0,0.522066
432,2,1,67,4,2,41,2,,,1,25,25,30,20,5,30,0,20,5,15,1,1,1,1,2,3,1,11,7,1,3,4,0,2,1,0,0,0,0,0,0,0,0.392575
436,2,1,30,3,2,48,3,1,,,45,35,30,30,50,15,15,20,30,30,4,1,3,3,1,1,1,4,8,4,1,1,0,2,1,0,0,0,0,0,0,0,1.16699
437,2,2,65,3,1,13,2,,,2,80,50,75,45,10,75,40,50,15,5,1,1,5,1,1,1,1,7,5,1,3,4,0,2,1,0,0,0,0,0,0,0,1.296452
439,2,2,18,3,2,12,2,,,2,80,20,60,20,40,90,5,70,5,20,1,1,1,1,2,5,1,11,5,4,1,5,0,1,1,0,0,1,0,0,0,0,7.368819
440,2,2,53,1,3,36,3,3,,,45,50,45,30,30,60,25,50,50,50,1,2,1,1,1,1,1,12,11,3,1,1,0,2,0,0,0,1,0,0,0,0,0.458076
442,2,2,74,3,3,24,1,,1,,49,35,32,26,28,59,51,40,49,41,4,4,3,1,2,1,2,6,10,3,1,4,0,2,1,0,0,0,0,0,0,0,0.229472
444,2,2,40,3,1,21,5,1,,,30,0,0,20,50,30,0,0,20,50,5,5,5,5,5,5,5,5,7,4,2,8,0,2,1,0,0,0,0,0,0,0,0.379728
446,2,2,67,3,3,12,2,,,2,10,25,25,25,10,10,25,25,25,10,2,1,2,1,2,5,1,7,11,1,5,1,0,2,1,0,0,0,0,0,0,0,0.477511
448,2,1,65,4,2,53,4,1,,,50,50,50,50,50,50,75,60,70,40,1,1,5,1,5,1,1,15,9,1,3,4,0,2,1,0,0,0,0,0,0,0,0.443206
449,2,2,25,3,2,48,1,,2,,100,76,100,70,100,100,80,100,100,100,2,2,2,3,1,1,2,9,11,3,1,5,0,1,1,0,0,0,0,0,0,0,1.445991
456,2,2,59,4,3,32,1,,1,,40,60,50,20,70,60,60,70,60,75,5,4,5,1,2,1,1,8,8,3,2,8,0,2,1,0,0,0,0,0,0,0,0.3414
458,2,2,68,4,2,32,2,,,2,60,60,65,60,40,70,70,70,70,60,1,1,4,1,4,1,1,14,10,1,4,4,0,2,1,0,0,0,0,0,0,0,0.186216
462,2,1,24,1,2,25,1,,2,,65,40,50,40,40,80,55,70,60,55,1,1,1,2,1,1,1,16,8,3,1,2,0,2,1,0,0,0,0,0,0,0,0.869536
463,2,1,55,2,2,39,2,,,1,60,50,50,50,10,60,50,50,20,30,3,3,3,3,5,3,1,19,10,1,1,3,0,2,1,0,0,0,0,0,0,0,0.5623
464,2,1,72,3,3,13,1,,1,,90,100,100,95,100,100,90,90,100,90,4,1,4,1,1,1,1,8,6,1,3,4,0,2,0,1,0,0,0,0,0,0,2.626158
466,2,2,59,2,1,29,1,,2,,50,100,60,80,80,50,50,50,60,60,2,3,5,1,1,1,1,11,10,1,3,8,0,2,1,0,0,0,0,0,0,0,0.162044
467,2,2,56,1,2,36,3,3,,,25,10,50,20,25,25,10,50,10,5,3,2,4,1,3,1,1,8,5,1,2,1,0,2,1,0,0,0,0,0,0,0,2.640944
468,2,2,75,2,1,27,1,,2,,60,40,65,75,60,60,70,50,60,70,1,1,5,2,1,1,1,10,10,1,3,4,0,2,1,0,0,0,0,0,0,0,0.162044
471,2,2,63,3,1,48,2,,,2,5,5,10,50,25,5,5,10,50,30,3,1,4,1,1,1,1,20,10,1,3,1,0,2,1,0,0,0,0,0,0,0,1.985203
472,2,1,54,1,1,34,3,3,,,5,5,10,40,40,20,20,20,20,20,3,2,2,1,1,1,1,5,10,1,3,8,0,2,0,0,0,1,0,0,0,0,0.164552
476,2,1,72,4,2,8,3,3,,,15,10,25,15,15,10,15,15,15,15,1,1,5,1,1,1,1,19,8,1,3,4,0,2,1,0,0,0,0,0,0,0,1.144563
477,2,2,22,1,2,36,5,3,,,50,60,80,60,50,70,60,80,68,50,3,1,3,1,1,1,1,5,9,4,1,1,0,2,1,0,0,0,0,0,0,0,1.288177
478,2,1,75,3,1,13,2,,,1,30,30,10,20,10,30,30,20,10,10,1,1,1,1,5,5,1,10,13,4,3,4,0,2,1,0,0,0,0,0,0,0,0.432625
481,2,2,44,3,1,13,5,1,,,20,0,10,60,10,15,0,0,70,15,1,1,1,1,1,1,1,11,9,1,5,1,2,2,1,0,0,0,0,0,0,0,0.595372
483,2,2,50,4,2,53,2,,,2,30,45,35,45,45,30,45,30,45,45,1,1,2,1,1,3,1,11,5,1,3,7,0,2,1,0,0,0,0,0,0,0,0.969025
484,2,2,63,3,1,21,2,,,2,45,50,40,65,55,55,90,25,75,50,1,1,5,1,1,1,1,8,5,1,3,4,0,2,1,0,0,0,0,0,0,0,1.140098
486,2,2,88,3,3,12,3,3,,,50,40,50,40,25,75,40,60,50,25,4,3,4,1,2,1,1,14,8,1,3,4,0,2,1,0,0,0,0,0,0,0,0.998545
490,2,2,73,3,2,12,1,,1,,100,100,75,100,100,50,40,50,50,50,5,1,5,1,1,1,1,12,5,1,3,4,0,1,1,0,0,0,0,0,0,0,7.967953
491,2,1,19,3,1,48,1,,2,,50,30,30,20,45,30,5,5,10,5,1,1,1,1,1,1,1,1,1,4,1,8,0,2,1,0,0,0,0,0,0,0,3.301398
493,2,1,55,2,3,39,1,,2,,50,50,35,80,65,50,40,20,35,45,2,1,5,2,1,1,1,7,10,3,3,1,0,2,0,1,0,0,0,0,0,0,0.196786
494,2,1,81,4,1,53,1,,2,,36,29,59,49,38,39,24,62,31,47,4,1,5,1,2,1,1,12,9,1,3,4,0,2,1,0,0,0,0,0,0,0,0.443206
497,2,1,66,3,2,24,2,,,2,75,40,40,10,20,60,30,30,20,20,1,5,5,1,2,1,1,10,10,3,5,4,0,2,1,0,0,0,0,0,0,0,0.255937
499,2,1,67,3,2,12,2,,,2,60,50,55,35,45,55,50,60,40,40,1,1,2,1,1,1,1,19,11,1,1,4,0,2,1,0,0,0,0,0,0,0,1.354193
501,2,2,45,2,2,29,2,,,1,13,32,62,41,71,54,76,68,64,71,2,1,5,1,4,1,1,15,5,1,3,1,0,2,1,0,0,0,0,0,0,0,0.805089
503,2,2,63,1,2,9,4,3,,,30,50,30,10,30,10,10,30,0,30,4,1,5,5,4,1,1,12,9,1,5,2,0,2,1,0,0,0,0,0,0,0,0.34435
504,2,1,72,1,3,36,3,1,,,60,60,35,20,75,75,60,65,50,75,4,5,5,5,1,1,2,20,12,1,3,4,0,2,0,0,0,0,0,1,0,0,1.200879
506,2,2,84,3,3,12,3,1,,,5,5,30,40,20,10,10,40,10,30,1,1,5,1,4,1,1,11,10,1,5,4,0,2,1,0,0,0,0,0,0,0,0.477511
507,2,1,69,4,1,41,2,,,1,35,20,65,50,10,15,45,85,70,30,1,1,5,1,1,3,1,19,8,1,3,1,0,2,1,0,0,0,0,0,0,0,1.144563
508,2,2,69,4,3,53,1,,1,,65,60,65,70,70,80,65,50,75,75,1,5,1,5,1,1,1,19,11,1,5,1,0,2,1,0,0,0,0,0,0,0,0.480271
510,2,1,43,1,3,36,1,,1,,40,20,30,20,40,20,20,40,20,30,3,5,3,2,4,2,3,23,11,1,3,1,2,2,1,0,0,0,0,0,0,0,0.915393
513,2,1,65,4,1,41,2,,,2,60,80,80,80,70,50,60,60,60,50,1,1,3,1,1,1,1,10,7,1,5,2,0,2,1,0,0,0,0,0,0,0,0.392575
518,2,1,69,2,2,17,2,,,2,25,15,15,20,15,25,15,15,15,15,3,3,5,3,1,1,2,6,11,3,1,3,0,2,1,0,0,0,0,0,0,0,0.269067
519,2,2,32,4,3,41,1,,1,,40,50,40,30,50,70,70,60,60,60,2,5,3,5,1,1,5,1,10,3,2,3,0,2,1,0,0,0,0,0,0,0,0.17212
521,2,1,41,2,3,29,1,,1,,40,10,20,10,20,20,40,20,10,10,2,4,2,3,2,2,2,9,11,3,3,1,1,2,1,0,0,0,0,0,0,0,0.238162
525,2,1,45,3,3,47,4,2,,,50,60,50,15,20,50,60,50,10,10,1,1,2,2,1,1,1,16,8,3,1,1,0,2,0,0,1,0,0,0,0,0,2.08882
526,2,2,75,2,2,26,3,2,,,60,70,40,60,60,60,40,40,60,60,4,1,4,1,4,1,1,19,11,1,3,4,0,2,1,0,0,0,0,0,0,0,0.78602
529,2,2,62,4,1,4,4,1,,,33,25,15,20,40,20,20,15,15,30,2,5,5,5,1,1,4,20,13,1,3,3,0,2,1,0,0,0,0,0,0,0,0.4444
531,2,1,26,2,2,39,3,2,,,65,45,50,25,60,47,80,27,20,33,1,1,1,1,1,1,1,16,10,3,1,1,0,1,1,0,0,0,0,0,0,0,2.649159
533,2,2,22,4,3,8,2,,,2,60,5,25,10,30,60,10,10,5,15,1,1,1,1,1,1,1,1,9,4,1,5,0,2,1,0,0,0,0,0,0,0,0.315557
534,2,2,29,3,3,51,1,,1,,50,50,100,100,100,100,50,50,100,100,4,4,3,3,2,1,1,4,4,3,1,7,1,1,1,0,0,0,0,0,0,0,4.320878
536,2,1,37,4,2,32,3,1,,,70,70,80,60,50,50,70,80,80,60,3,2,5,3,1,1,1,10,10,1,3,8,0,2,1,0,0,0,0,0,0,0,0.224317
539,2,2,42,3,1,47,2,,,1,75,10,50,10,10,20,0,10,0,0,1,1,1,1,2,5,1,12,8,3,3,7,1,2,1,0,0,0,0,0,0,0,0.379728
540,2,1,31,1,2,36,1,,1,,50,40,40,35,25,75,75,60,60,50,1,1,1,2,1,1,1,9,11,4,3,8,0,2,1,0,0,0,0,0,0,0,0.312206
541,2,2,74,1,1,42,1,,2,,85,75,70,50,50,85,60,50,60,45,4,3,5,2,1,1,1,5,10,1,4,4,0,2,1,0,0,0,0,0,0,0,0.265129
545,2,2,53,2,1,26,3,2,,,60,10,10,5,15,15,10,10,10,55,1,1,3,2,2,1,2,11,5,1,3,4,2,2,1,0,0,0,0,0,0,0,1.585923
548,2,2,27,3,2,28,1,,2,,80,50,60,50,100,60,90,50,50,100,5,4,5,1,1,1,4,2,8,3,2,8,3,2,0,1,0,0,0,0,0,0,0.579798
549,2,2,73,4,1,30,1,,1,,50,40,30,20,35,50,50,30,30,40,4,1,5,1,1,1,1,15,5,1,3,8,0,2,1,0,0,0,0,0,0,0,0.925186
551,2,2,71,1,2,36,2,,,1,85,75,100,90,90,90,90,90,95,100,3,1,3,1,1,1,1,6,8,3,5,4,0,2,1,0,0,0,0,0,0,0,0.93353
554,2,2,36,1,2,34,3,1,,,70,65,75,65,65,70,50,65,60,65,3,5,3,1,1,1,1,19,10,1,2,1,0,2,1,0,0,0,0,0,0,0,0.733274
560,2,2,77,4,3,4,2,,,1,40,20,35,40,30,30,10,10,10,10,1,1,5,1,5,2,1,12,8,1,4,4,0,2,1,0,0,0,0,0,0,0,0.316951
561,2,2,56,1,1,42,4,3,,,75,50,50,50,50,75,50,50,50,50,3,1,5,1,2,1,1,7,8,1,3,4,0,2,1,0,0,0,0,0,0,0,0.554424
565,2,2,55,2,2,55,2,,,1,60,60,40,30,30,50,60,20,20,20,5,2,4,1,5,3,1,20,10,1,3,4,0,2,1,0,0,0,0,0,0,0,0.326067
576,2,2,61,1,2,36,3,1,,,80,70,60,50,60,50,40,40,40,40,5,4,4,4,1,1,2,19,9,1,3,1,0,2,1,0,0,0,0,0,0,0,2.737126
583,2,2,20,2,3,38,5,1,,,20,20,30,20,10,20,20,20,20,20,3,3,3,3,3,3,3,5,8,3,1,5,0,1,0,0,0,0,0,0,1,0,0.777482
585,2,2,69,1,2,42,2,,,2,50,30,40,60,75,30,30,30,50,50,5,2,5,1,4,1,1,21,8,1,3,4,0,2,1,0,0,0,0,0,0,0,1.625581
